"Section";"Article";"Contenu"
"section VI du Règlement sur";"Art. 2.1";", r. 6, a."
"section VI du Règlement sur";"Art. 2.15.10";"; D. 329-94, a. 20."
"section VI du Règlement sur";"Art. 2.15.11";".  Monte-matériaux:
1. Un monte-matériaux fabriqué avant 1987 doit être conforme à la norme Safety Code for Material
Hoists CSA Standard Z256-72, y compris toutes ses mises à jour.
2. Un monte-matériaux fabriqué à compter de 1987 doit être conforme à la norme Règles de sécurité pour
les monte-matériaux, CAN/CSA Z256 applicable au moment de sa fabrication.
1
3
9
3
-
2
0
2
4D. 1393-2024, a. 7 1."
"section VI du Règlement sur";"Art. 2.15.12";".  Appareil de levage de personnes:
1. Un appareil de levage de personnes doit être muni de manettes de contrôle du type «homme mort»,
d’un bouton d’arrêt d’urgence à la portée des travailleurs transportés et d’un dispositif qui empêche la
retombée du poste de travail lors d’une défaillance de l’alimentation électrique ou hydraulique.
2. Un appareil de levage de personnes doit être conduit et opéré selon les instructions du fabricant.SANTÉ ET SÉCURITÉ DU TRA V AIL — CONSTRUCTION — CODE DE SÉCURITÉ
À jour au 0
11er 0
4avril 2025
© Éditeur officiel du Québec S-"
"section VI du Règlement sur";"Art. 2.1";", r. 4 / 34 sur 222"
"section VI du Règlement sur";"Art. 2.10.15";".
7. L’opérateur d’un appareil de levage de personnes qui effectue un déplacement doit:
a) limiter la vitesse de déplacement en fonction des conditions, telles que le type de sol, la visibilité, la
pente, la présence de personnes et de tout autre facteur pouvant entraîner des collisions, des blessures ou des
renversements;
b) se tenir à une distance sécuritaire des obstacles, des pentes descendantes, des fondrières, des rampes ou
de tout autre danger;
c) s’assurer de bien voir le sol et le trajet à parcourir;
d) s’assurer que toute personne se trouvant dans l’aire de travail concernée est informée du déplacement
de l’équipement et qu’il n’y a personne dans sa trajectoire;
e) visualiser la zone de déplacement dans le sens du mouvement de la plate-forme.
Lors de la visualisation effectuée conformément au sous-paragraphe e du paragraphe 7, lorsque l’opérateur
constate que des structures aériennes environnantes ou des obstacles présentent un risque de coincement ou
d’écrasement pour toute personne se trouvant sur la plate-forme, il doit prendre les mesures nécessaires pour
éliminer ce risque. Lorsqu’il est impossible pour toute personne de demeurer debout sur la plate-forme, par
exemple en raison du passage de l’équipement sous une embrasure de porte, l’opérateur doit manœuvrer
l’équipement à partir du sol.
8. Un registre des inspections et des réparations doit être conservé par le propriétaire de l’appareil de
levage de personnes.
9. Le manuel d’opération du fabricant de l’appareil de levage de personnes doit être rangé sur l’appareil
dans le compartiment résistant aux intempéries.
10. Il est interdit d’utiliser un appareil de levage de personnes, autre qu’un ascenseur de chantier ou une
plate-forme de transport se déplaçant le long de mâts, pour transférer des personnes d’un niveau à un autre
afin d’accéder à un lieu de travail à l’extérieur de celui-ci, sauf lorsque les conditions suivantes sont
satisfaites:
a) une personne compétente démontre, après avoir analysé les risques liés à l’accès à ce lieu de travail,
que l’accès à ce lieu ne peut se faire au moyen d’une échelle, d’un escalier, d’un échafaudage, d’un ascenseur
ou d’une plate-forme de transport se déplaçant le long de mâts;
b) un ingénieur confirme, par écrit, que l’utilisation d’un appareil de levage de personnes pour cette fin
est sécuritaire;SANTÉ ET SÉCURITÉ DU TRA V AIL — CONSTRUCTION — CODE DE SÉCURITÉ
À jour au 0
11er 0
4avril 2025
© Éditeur officiel du Québec S-"
"section VI du Règlement sur";"Art. 2.1";", r. 4 / 35 sur 222"
"section VI du Règlement sur";"Art. 354.7";". Cette procédure doit être spécifique
à ce lieu de travail.
Un appareil de levage de personnes peut toutefois être utilisé dans le cadre d’un plan de sauvetage pour
secourir des personnes.
11. À défaut de spécifications du fabricant, un appareil de levage de personnes ne doit pas être utilisé au-
delà d’une vitesse de vent de 45 km/h.
12. Un appareil de levage de personnes doit être pourvu d’un avertisseur sonore qui se met en marche
lorsque le déplacement au sol est motorisé.
1
3
9
3
-
2
0
2
4D. 1393-2024, a. 7 1; 6
3
-
2
0
2
5D. 63-2025, a. 12 1."
"section VI du Règlement sur";"Art. 2.15.13";".  Engin élévateur à nacelle:
1. Un engin élévateur à nacelle doit satisfaire à l’une des exigences suivantes:
a) être conçu et fabriqué conformément à la norme Engins élévateurs à nacelle portés sur véhicule, CSA
C225, applicable au moment de sa fabrication;
b) être conçu et fabriqué conformément à la norme Vehicle-Mounted Elevating and Rotating Aerial
Devices ANSI/SAIA A"
"section VI du Règlement sur";"Art. 92.2";", applicable au moment de sa fabrication.
2. Il est interdit d’utiliser un engin élévateur à nacelle à des fins autres que celles pour lesquelles il a été
spécifiquement conçu.
1
3
9
3
-
2
0
2
4D. 1393-2024, a. 7 1."
"section VI du Règlement sur";"Art. 2.15.14";".  Ascenseur de chantier: Tout ascenseur de chantier doit être conçu et fabriqué conformément à
la norme Règles de sécurité pour les monte-charges pour personnes, CSA Z185.
1
3
9
3
-
2
0
2
4D. 1393-2024, a. 7 1."
"section VI du Règlement sur";"Art. 2.15.15";".  Grue tarière:
1. Une grue tarière fabriquée après le 1er janvier 1987 doit être conçue et fabriquée conformément à la
norme Safety Requirements, Definitions and Specifications for Digger Derrick ANSI/ASSP A"
"section VI du Règlement sur";"Art. 10.31";",
applicable au moment de sa fabrication.
On entend par grue tarière un appareil muni d’une flèche hydraulique, monté sur un véhicule porteur et conçu
spécifiquement pour percer des trous dans le sol et y installer des poteaux ainsi que, à l’aide d’une nacelle, le
matériel qu’ils supportent.
2. Il est interdit d’utiliser une grue tarière afin de lever des charges autres que celles pour lesquelles elle a
été spécifiquement conçue.
1
3
9
3
-
2
0
2
4D. 1393-2024, a. 7 1."
"section VI du Règlement sur";"Art. 2.15.16";".  Plate-forme élévatrice mobile de personnel:
1. La plate-forme élévatrice mobile de personnel doit être fabriquée conformément à la norme Plates-
formes élévatrices mobiles de personnel – Conception, calculs, exigences de sécurité et méthodes d’essai,
CSA B"
"section VI du Règlement sur";"Art. 354.6";", applicable au moment de sa fabrication.SANTÉ ET SÉCURITÉ DU TRA V AIL — CONSTRUCTION — CODE DE SÉCURITÉ
À jour au 0
11er 0
4avril 2025
© Éditeur officiel du Québec S-"
"section VI du Règlement sur";"Art. 2.1";", r. 4 / 36 sur 222"
"section VI du Règlement sur";"Art. 354.7";", afin de s’assurer que l’intégrité de ses composantes critiques et sa stabilité sont
demeurées telles qu’à l’origine:
a) 10 ans après la date de la fabrication et tous les 5 ans par la suite;
b) après tout dommage suspecté, potentiel ou réel subi lors d’un incident et qui est susceptible d’affecter
son intégrité structurelle ou sa stabilité;
c) après un changement de propriétaire.
1
3
9
3
-
2
0
2
4D. 1393-2024, a. 7 1."
"section VI du Règlement sur";"Art. 2.15.17";".  Formation de l’opérateur de plate-forme élévatrice mobile de personnel: Une plate-forme
élévatrice mobile de personnel ne peut être utilisée, sur le chantier, que par un opérateur adéquatement formé
et familiarisé avec le type et le groupe d’équipement, tels que définis par la norme Plates-formes élévatrices
mobiles de personnel – Conception, calculs, exigences de sécurité et méthodes d’essai, CSA B"
"section VI du Règlement sur";"Art. 354.6";". Est
adéquatement formé l’opérateur qui a reçu:
1. une formation initiale, pour chaque type d’équipement, dont le contenu est équivalant à la norme
Plates-formes élévatrices mobiles de personnel - Formation des opérateurs (conducteurs), CSA B"
"section VI du Règlement sur";"Art. 354.8";". De
plus:
a) cette formation doit être composée d’une partie théorique, d’une partie pratique et d’une évaluation
pour chaque type et chaque groupe d’équipement visés par la formation. Cette formation doit aussi aborder les
méthodes de travail permettant de circuler sécuritairement sous des structures afin d’éviter de coincer ou
d’écraser toute personne se trouvant sur la plate-forme;
b) la partie pratique doit inclure minimalement, pour chaque travailleur, une heure aux commandes de
l’équipement;
c) l’évaluation doit comprendre une partie théorique et une partie pratique aux commandes d’un
équipement qui doit démontrer que le travailleur a acquis les compétences nécessaires pour opérer
sécuritairement l’équipement;
d) la formation doit être dispensée par:
i. un formateur agréé conformément au Règlement sur l’agrément et la déontologie des organismes
formateurs, des formateurs et des services de formation (chapitre D-"
"section VI du Règlement sur";"Art. 8.3";", r."
"section VI du Règlement sur";"Art. 0.1";"); ou
ii. un formateur qualifié par un organisme de formation reconnu par la Commission;
e) une attestation de formation indiquant le type et le groupe d’équipement visés par la formation doit être
remise au travailleur par l’organisme formateur ou par le formateur qui l’a dispensée;
2. à tous les 5 ans à la suite de sa formation initiale, une mise à jour de celle-ci comprenant minimalement
un examen pratique;
3. une familiarisation sur le chantier, par une personne qualifiée ou expérimentée, des éléments suivants:
a) la localisation des manuels du fabricant;
b) les avertissements spécifiques et les instructions du fabricant;
c) les fonctions des commandes spécifiques;SANTÉ ET SÉCURITÉ DU TRA V AIL — CONSTRUCTION — CODE DE SÉCURITÉ
À jour au 0
11er 0
4avril 2025
© Éditeur officiel du Québec S-"
"section VI du Règlement sur";"Art. 2.1";", r. 4 / 37 sur 222"
"section VI du Règlement sur";"Art. 2.15.18";".  Plate-forme de transport: Une plate-forme de transport se déplaçant le long de mâts doit être
conçue et fabriquée conformément à la norme Conception, calculs, exigences relatives à la sécurité et
méthodes d’essai pour les plates-formes de transport se déplaçant le long de mâts, CSA B"
"section VI du Règlement sur";"Art. 354.12";". De plus:
1. la plate-forme de transport doit:
a) être recouverte d’un toit conforme à l’article"
"section VI du Règlement sur";"Art. 4.4.3.2";"de cette norme;
b) être ceinturée d’un garde-corps fixe d’une hauteur minimale de 1,06 m composé sur sa pleine hauteur
d’un grillage ne laissant pas passer une bille de 25 mm de diamètre;
2. les portes palières doivent:
a) être d’une hauteur minimale de 2 m;
b) être munies d’une protection latérale d’une largeur minimale de 0,6 m de part et d’autre de la porte;
c) être munies d’un système d’interverrouillage mécanique qui empêche le déplacement de la plate-forme
lorsque la porte palière est ouverte;
3. lorsque le plancher du quai de chargement est à moins de 2 m du sol, la porte palière donnant accès à la
plate-forme, à ce niveau, peut:
a) être d’une hauteur minimale de 1,06 m de hauteur composée sur sa pleine hauteur d’un grillage ne
laissant pas passer une bille de 25 mm de diamètre;
b) être munie d’une protection latérale d’au moins 0,6 m de largeur de part et d’autre de la porte
composée d’un grillage ne laissant pas passer une bille de 25 mm de diamètre;
c) être tenue fermée par un loquet;
4. Le quai de chargement doit être ceinturé d’un garde-corps conforme à l’article"
"section VI du Règlement sur";"Art. 3.8.3";";
5. Une plate-forme de transport se déplaçant le long de mâts ne peut être utilisée à plus de 55 m de
hauteur par rapport au sol;
6. Une clôture d’une hauteur minimale de 1,8 m doit ceinturer l’aire de travail autour des installations de
la plate-forme de transport.
1
3
9
3
-
2
0
2
4D. 1393-2024, a. 7 1."
"section VI du Règlement sur";"Art. 2.15.19";".  Entretien et utilisation d’une plate-forme de transport se déplaçant le long de mâts:  Une
plate-forme de transport se déplaçant le long de mâts doit être utilisée et entretenue conformément à la norme
Usage sécuritaire et meilleures méthodes pour les plates-formes de transport se déplaçant le long de mâts,
CSA B"
"section VI du Règlement sur";"Art. 354.13";".
1
3
9
3
-
2
0
2
4D. 1393-2024, a. 7 1."
"section VI du Règlement sur";"Art. 2.15.20";".  Formation de l’opérateur d’une plate-forme de transport se déplaçant le long de mâts:  Une
plate-forme de transport se déplaçant le long de mâts ne peut être utilisée que par un opérateur formé etSANTÉ ET SÉCURITÉ DU TRA V AIL — CONSTRUCTION — CODE DE SÉCURITÉ
À jour au 0
11er 0
4avril 2025
© Éditeur officiel du Québec S-"
"section VI du Règlement sur";"Art. 2.1";", r. 4 / 38 sur 222"
"section VI du Règlement sur";"Art. 354.14";".
1
3
9
3
-
2
0
2
4D. 1393-2024, a. 7 1."
"section VI du Règlement sur";"Art. 2.16";". —  Pieux, palplanches"
"section VI du Règlement sur";"Art. 2.16.1";".  Manutention:  Les pieux et les palplanches doivent être en tout temps retenus solidement par un
dispositif autre que la main du travailleur pendant leur mise en place ou leur enlèvement.
R.R.Q., 1981, c. S-"
"section VI du Règlement sur";"Art. 2.1";", r. 6, a."
"section VI du Règlement sur";"Art. 2.16.1";"."
"section VI du Règlement sur";"Art. 2.16.2";".  Zone de manutention:  Aucun travailleur qui n’est pas affecté à la manutention de pieux et de
palplanches ne doit se trouver dans cette zone.
R.R.Q., 1981, c. S-"
"section VI du Règlement sur";"Art. 2.1";", r. 6, a."
"section VI du Règlement sur";"Art. 2.16.2";"; D. 329-94, a. 21."
"section VI du Règlement sur";"Art. 2.16.3";".  Marteau-pilon:  Tout marteau-pilon non utilisé ne doit pas être maintenu en position levée.
R.R.Q., 1981, c. S-"
"section VI du Règlement sur";"Art. 2.1";", r. 6, a."
"section VI du Règlement sur";"Art. 2.16.3";"."
"section VI du Règlement sur";"Art. 2.16.4";".  Tête du pieu:  Avant de planter un pieu, la tête doit être:
a) coupée à angle droit; et
b) libre de tout débris, d’écorces ou d’éclats.
R.R.Q., 1981, c. S-"
"section VI du Règlement sur";"Art. 2.1";", r. 6, a."
"section VI du Règlement sur";"Art. 2.16.4";"; D. 329-94, a. 22."
"section VI du Règlement sur";"Art. 2.17";". — 
(Abrogée)
R.R.Q., 1981, c. S-"
"section VI du Règlement sur";"Art. 2.1";", r. 6, sec. II, ss."
"section VI du Règlement sur";"Art. 2.17";"; D. 329-94, a. 23."
"section VI du Règlement sur";"Art. 2.17.1";".  (Abrogé)
R.R.Q., 1981, c. S-"
"section VI du Règlement sur";"Art. 2.1";", r. 6, a."
"section VI du Règlement sur";"Art. 2.17.1";"; D. 329-94, a. 23."
"section VI du Règlement sur";"Art. 2.18";". —  Transport des travailleurs"
"section VI du Règlement sur";"Art. 2.18.1";".  Un véhicule automoteur utilisé pour le transport d’un travailleur doit être conforme à toute
prescription du Code de la sécurité routière (chapitre C-"
"section VI du Règlement sur";"Art. 24.2";") s’y référant tout comme si ce véhicule était
utilisé sur un chemin public.
R.R.Q., 1981, c. S-"
"section VI du Règlement sur";"Art. 2.1";", r. 6, a."
"section VI du Règlement sur";"Art. 2.18.1";"; D. 1959-86, a. 14."
"section VI du Règlement sur";"Art. 2.18.2";".  Conducteur d’un véhicule:  L’employeur doit s’assurer que le conducteur du véhicule utilisé pour
le transport des travailleurs:
a) détient le permis exigé par le Code de la sécurité routière (chapitre C-"
"section VI du Règlement sur";"Art. 24.2";");
b) avise qui de droit de toutes les défectuosités de son véhicule; et
c) n’effectue aucun transport de personnes si les défectuosités signalées n’ont pas été réparées ou s’il juge
que son véhicule n’offre pas toutes les garanties de sécurité.
R.R.Q., 1981, c. S-"
"section VI du Règlement sur";"Art. 2.1";", r. 6, a."
"section VI du Règlement sur";"Art. 2.18.2";"; D. 1959-86, a. 15.SANTÉ ET SÉCURITÉ DU TRA V AIL — CONSTRUCTION — CODE DE SÉCURITÉ
À jour au 0
11er 0
4avril 2025
© Éditeur officiel du Québec S-"
"section VI du Règlement sur";"Art. 2.1";", r. 4 / 39 sur 222"
"section VI du Règlement sur";"Art. 2.18.3";".  L’employeur doit veiller à ce que chaque travailleur transporté:
a) soit assis sur les sièges ou banquettes mis à sa disposition pendant le transport, excepté dans le cas des
véhicules automobiles spécialement aménagés pour transporter des personnes debout; et
b) monte dans le véhicule ou en descende à l’arrêt complet, et utilise les dispositifs de descente mis à sa
disposition.
R.R.Q., 1981, c. S-"
"section VI du Règlement sur";"Art. 2.1";", r. 6, a."
"section VI du Règlement sur";"Art. 2.18.3";"."
"section VI du Règlement sur";"Art. 2.18.4";".  Aménagement des véhicules:
1. Tout véhicule automobile utilisé principalement ou régulièrement pour le transport des travailleurs
doit:
a) être muni de poignées, de marchepieds et autres accessoires disposés de façon à permettre aux
travailleurs de monter ou de descendre en toute sécurité;
b) être muni d’un dispositif permettant aux passagers de communiquer avec le conducteur lorsque la
cabine de celui-ci est séparée du compartiment des passagers;
c) ne jamais transporter un nombre de passagers risquant de compromettre la conduite du véhicule ou la
sécurité des passagers; et
d) avoir le plancher et l’intérieur du compartiment réservé aux passagers en bon état et libres de clous,
vis, saillies et autres objets présentant un danger pour les passagers.
2. Les camions et autobus utilisés principalement ou régulièrement pour le transport des travailleurs
doivent être:
a) construits et aménagés à cet effet;
b) munis de sièges ou banquettes solidement fixés;
c) couverts d’un toit et protégés sur les côtés par des parois solides d’une hauteur minimale de 1,2 m;
d) pourvus de 2 feux de Bengale ou de 2 feux clignotants. En cas de panne sur la chaussée ou à moins de
3 m de celle-ci, on doit placer un de ces signaux 30 m devant le véhicule et l’autre 30 m derrière;
e) munis d’un extincteur d’incendie portatif conforme à l’article"
"section VI du Règlement sur";"Art. 3.4.4";"du présent Code. Le conducteur
doit posséder les connaissances requises sur le type et le mode de fonctionnement de l’extincteur dont sont
munis les camions et les autobus;
f) pourvus d’une trousse de premiers soins placée dans la cabine du conducteur.
3. Les camions utilisés principalement ou régulièrement pour le transport des travailleurs doivent
posséder des sièges ou banquettes présentant les caractéristiques suivantes:
a) la largeur de chaque place doit être au minimum de 450 mm;
b) entre les rangées de sièges, il doit y avoir une allée large, au minimum de 600 mm, si ceux-ci sont face
à face et de 300 mm dans les autres cas;
c) la hauteur des sièges doit être comprise entre 380 mm et 480 mm au-dessus du plancher;
d) la profondeur minimale doit être de 300 mm; etSANTÉ ET SÉCURITÉ DU TRA V AIL — CONSTRUCTION — CODE DE SÉCURITÉ
À jour au 0
11er 0
4avril 2025
© Éditeur officiel du Québec S-"
"section VI du Règlement sur";"Art. 2.1";", r. 4 / 40 sur 222"
"section VI du Règlement sur";"Art. 2.1";", r. 6, a."
"section VI du Règlement sur";"Art. 2.18.4";"; D. 329-94, a. 24."
"section VI du Règlement sur";"Art. 2.18.5";".  Dispositions particulières:
1. Les camions à plate-forme et les camions de service occasionnellement utilisés pour le transport des
travailleurs peuvent être utilisés à cette fin aux conditions suivantes:
a) les travailleurs doivent voyager, à condition qu’il y ait de la place, à l’intérieur de la cabine du
conducteur jusqu’à concurrence de 3 personnes dans une cabine normale;
b) les camions à plate-forme doivent être munis sur les côtés, de ridelles ou de parois d’une hauteur
minimale de 900 mm;
c) les travailleurs doivent être tous assis sur des banquettes adossées aux parois de la plate-forme,
solidement fixées au plancher et d’une hauteur de 380 mm à 480 mm;
d) les panneaux arrières doivent être maintenus fermés pendant le trajet; et
e) le camion doit être muni d’une bâche pour protéger les travailleurs contre les intempéries.
2. Tout camion fermé, utilisé pour le transport des travailleurs doit répondre aux dispositions suivantes:
a) le plancher du compartiment réservé aux travailleurs doit être étanche pour éviter l’intoxication par les
gaz d’échappement;
b) l’extrémité du tuyau d’échappement doit déboucher à l’extérieur de la surface de projection du
véhicule;
c) pendant le jour, des orifices spécialement aménagés doivent permettre l’aération et l’éclairage naturel à
l’intérieur; et
d) à la tombée de la nuit, un éclairage artificiel doit être assuré à l’intérieur du compartiment des
travailleurs.
R.R.Q., 1981, c. S-"
"section VI du Règlement sur";"Art. 2.1";", r. 6, a."
"section VI du Règlement sur";"Art. 2.18.5";"."
"section VI du Règlement sur";"Art. 2.18.6";".  Transport interdit:  Le transport de personnes est interdit dans les remorques et les semi-
remorques.
R.R.Q., 1981, c. S-"
"section VI du Règlement sur";"Art. 2.1";", r. 6, a."
"section VI du Règlement sur";"Art. 2.18.6";"."
"section VI du Règlement sur";"Art. 2.18.7";".  Transport simultané de personnel et de matériel:
1. Les véhicules utilisés pour le transport des travailleurs ne doivent pas transporter de pesticides
dangereux ni de substances inflammables, à moins que ces substances ne soient transportées dans des
récipients conçus à cet effet, et à l’extérieur des compartiments occupés par le conducteur ou par les
passagers.
2. Tous les outils tranchants transportés dans la cabine du conducteur ou dans le compartiment des
passagers doivent être:
a) placés dans des boîtes ou récipients couverts; ou
b) protégés par une gaine recouvrant le côté tranchant et fixés au bâti du véhicule, à l’extérieur des allées.SANTÉ ET SÉCURITÉ DU TRA V AIL — CONSTRUCTION — CODE DE SÉCURITÉ
À jour au 0
11er 0
4avril 2025
© Éditeur officiel du Québec S-"
"section VI du Règlement sur";"Art. 2.1";", r. 4 / 41 sur 222"
"section VI du Règlement sur";"Art. 2.1";", r. 6, a."
"section VI du Règlement sur";"Art. 2.18.7";"."
"section VI du Règlement sur";"Art. 2.19";". —  Méthode et technique de travail interdites
D. 995-91, a. 6."
"section VI du Règlement sur";"Art. 2.19.1";".  Il est interdit d’utiliser un gaz liquéfié pour procéder au gel d’une conduite d’eau à moins que ce
gaz ne soit physiologiquement inerte et ininflammable.
D. 995-91, a. 6; D. 1413-98, a. 10."
"section VI du Règlement sur";"Art. 2.19.2";".  Lorsqu’on procède au gel d’une conduite d’eau située dans une tranchée ou dans un espace obstrué
en utilisant un gaz liquéfié, physiologiquement inerte et ininflammable, les mesures suivantes doivent être
prises:
a) la tranchée ou l’espace obstrué est ventilé à l’aide d’un système de ventilation par extraction de façon à
ce que la concentration d’oxygène dans l’air soit en tout temps, à l’endroit occupé par le travailleur pour
accomplir son travail, égale ou supérieure à 19,5%;
b) un appareil de mesure de la concentration d’oxygène dans l’air est disponible en tout temps sur le lieu
de travail.
Pour l’application du présent article, un espace obstrué est un espace délimité par un mur, une paroi, un
plafond ou tout autre obstacle physique où la circulation de l’air avec l’extérieur n’est pas suffisante pour y
maintenir un pourcentage d’oxygène, en volume dans l’air, égal ou supérieur à 19,5%.
D. 1413-98, a. 10."
"section VI du Règlement sur";"Art. 2.19.3";".  Le travailleur qui procède au gel d’une conduite d’eau doit être pourvu de mitaines ou de gants qui
le protègent contre les engelures.
D. 1413-98, a. 10."
"section VI du Règlement sur";"Art. 2.20";". —  Cadenassage et autres méthodes de contrôle des énergies
D. 1186-2015, a. 1."
"section VI du Règlement sur";"Art. 2.20.1";".  Dans la présente sous-section, on entend par:
«cadenassage »: une méthode de contrôle des énergies visant l’installation d’un cadenas à cléage unique
sur un dispositif d’isolement d’une source d’énergie ou sur un autre dispositif permettant de contrôler les
énergies telle une boîte de cadenassage;
«cléage unique »: une disposition particulière des composantes d’un cadenas qui permet de l’ouvrir à l’aide
d’une seule clé;SANTÉ ET SÉCURITÉ DU TRA V AIL — CONSTRUCTION — CODE DE SÉCURITÉ
À jour au 0
11er 0
4avril 2025
© Éditeur officiel du Québec S-"
"section VI du Règlement sur";"Art. 2.1";", r. 4 / 42 sur 222"
"section VI du Règlement sur";"Art. 2.20.2";".  Avant d’entreprendre dans la zone dangereuse d’une machine tout travail, notamment de montage,
d’installation, d’ajustement, d’inspection, de décoinçage, de réglage, de mise hors d’usage, d’entretien, de
désassemblage, de nettoyage, de maintenance, de remise à neuf, de réparation, de modification ou de
déblocage, le cadenassage ou, à défaut, toute autre méthode qui assure une sécurité équivalente doit être
appliqué conformément à la présente sous-section.
La présente sous-section ne s’applique pas:
1° lorsqu’un travail est effectué dans la zone dangereuse d’une machine qui dispose d’un mode de
commande spécifique tel que défini à l’article"
"section VI du Règlement sur";"Art. 2.20.13";";
2° lorsque le débranchement d’une machine est à portée de main et sous le contrôle exclusif de la
personne qui l’utilise, que la source d’énergie de la machine est unique et qu’il ne subsiste aucune énergie
résiduelle à la suite du débranchement.
D. 1186-2015, a. 1."
"section VI du Règlement sur";"Art. 2.20.3";".  Le cadenassage doit être effectué par chacune des personnes ayant accès à la zone dangereuse
d’une machine.
D. 1186-2015, a. 1."
"section VI du Règlement sur";"Art. 2.20.4";".  Lorsque le maître d’oeuvre prévoit appliquer une méthode de contrôle des énergies autre que le
cadenassage, il doit, au préalable, s’assurer de la sécurité équivalente de cette méthode en analysant les
éléments suivants:
1° les caractéristiques de la machine;
2° l’identification des risques pour la santé et la sécurité lors de l’utilisation de la machine;
3° l’estimation de la fréquence et de la gravité des lésions professionnelles potentielles pour chaque
risque identifié;
4° la description des mesures de prévention applicables pour chaque risque identifié, l’estimation du
niveau de réduction du risque ainsi obtenue et l’évaluation des risques résiduels.
Les résultats de cette analyse doivent être consignés dans un écrit.
La méthode visée au premier alinéa doit être élaborée à partir des éléments mentionnés aux paragraphes 1
à 4.
D. 1186-2015, a. 1."
"section VI du Règlement sur";"Art. 2.20.5";".  Le maître d’oeuvre doit, pour chaque machine située sur le chantier de construction, s’assurer
qu’une ou plusieurs procédures décrivant la méthode de contrôle des énergies soient élaborées et appliquées.
Les procédures doivent être facilement accessibles sur les lieux où les travaux s’effectuent dans une
transcription intelligible à toute personne ayant accès à la zone dangereuse d’une machine.SANTÉ ET SÉCURITÉ DU TRA V AIL — CONSTRUCTION — CODE DE SÉCURITÉ
À jour au 0
11er 0
4avril 2025
© Éditeur officiel du Québec S-"
"section VI du Règlement sur";"Art. 2.1";", r. 4 / 43 sur 222"
"section VI du Règlement sur";"Art. 2.20.6";".  Une procédure décrivant la méthode de contrôle des énergies doit comprendre les éléments
suivants:
1° l’identification de la machine;
2° l’identification de la personne responsable de la méthode de contrôle des énergies;
3° l’identification et la localisation de tout dispositif de commande et de toute source d’énergie de la
machine;
4° l’identification et la localisation de tout point de coupure de chaque source d’énergie de la machine;
5° le type et la quantité de matériel requis pour appliquer la méthode;
6° les étapes permettant de contrôler les énergies;
7° le cas échéant, les mesures visant à assurer la continuité de l’application de la méthode de contrôle des
énergies lors d’une rotation de personnel, notamment le transfert du matériel requis;
8° le cas échéant, les particularités applicables telles la libération de l’énergie résiduelle ou emmagasinée,
les équipements de protection individuels requis ou toute autre mesure de protection complémentaire.
D. 1186-2015, a. 1."
"section VI du Règlement sur";"Art. 2.20.7";".  Lorsque la méthode appliquée est le cadenassage, les étapes permettant de contrôler les énergies
aux fins du paragraphe 6 de l’article"
"section VI du Règlement sur";"Art. 2.20.6";"doivent inclure:
1° la désactivation et l’arrêt complet de la machine;
2° l’élimination ou, si cela est impossible, le contrôle de toute source d’énergie résiduelle ou
emmagasinée;
3° le cadenassage des points de coupure des sources d’énergie de la machine;
4° la vérification du cadenassage par l’utilisation d’une ou de plusieurs techniques permettant d’atteindre
le niveau d’efficacité le plus élevé;
5° le décadenassage et la remise en marche de la machine en toute sécurité.
D. 1186-2015, a. 1."
"section VI du Règlement sur";"Art. 2.20.8";".  Avant d’appliquer une méthode de contrôle des énergies, le maître d’oeuvre doit s’assurer que les
personnes ayant accès à la zone dangereuse de la machine sont formées et informées sur les risques pour la
santé et la sécurité liés aux travaux effectués sur la machine et sur les mesures de prévention spécifiques à la
méthode de contrôle des énergies appliquée.
D. 1186-2015, a. 1."
"section VI du Règlement sur";"Art. 2.20.9";".  Un employeur ou un travailleur autonome doit obtenir une autorisation écrite du maître d’oeuvre
avant d’entreprendre un travail dans la zone dangereuse d’une machine. Le maître d’oeuvre doit s’assurer
qu’il appliquera une méthode de contrôle des énergies conforme à la présente sous-section.
D. 1186-2015, a. 1.SANTÉ ET SÉCURITÉ DU TRA V AIL — CONSTRUCTION — CODE DE SÉCURITÉ
À jour au 0
11er 0
4avril 2025
© Éditeur officiel du Québec S-"
"section VI du Règlement sur";"Art. 2.1";", r. 4 / 44 sur 222"
"section VI du Règlement sur";"Art. 2.20.10";".  Lorsque plusieurs employeurs ou travailleurs autonomes effectuent un travail dans la zone
dangereuse d’une machine, il incombe au maître d’oeuvre de coordonner les mesures à prendre pour s’assurer
de l’application de la méthode de contrôle des énergies, notamment en déterminant leurs rôles respectifs et
leurs moyens de communication.
D. 1186-2015, a. 1."
"section VI du Règlement sur";"Art. 2.20.11";".  Le maître d’oeuvre doit fournir le matériel de cadenassage dont les cadenas à cléage unique, sauf
si un employeur ou un travailleur autonome en est responsable par application de l’article"
